தன்+pron+3sg+refl+nom+add	தனும்
அது+pron+dem+dist+pl+3sgn+acc+sandhik	அதுகளைக்
அது+pron+dem+dist+3sgn+loc+add	அதிலும்
அது+pron+dem+dist+3sgn+loc+foc=ஏயே	அதிலேயே
அது+pron+dem+dist+3sgn+abl+add	அதிலிருந்தும்
அது+pron+dem+dist+3sgn+abl+add	அதினும்
அது+pron+dem+dist+3sgn+inst+add	அதாலும்
அது+pron+dem+dist+3sgn+acc+add	அதையும்
அவன்+pron+dem+dist+3sgm+dem+abl+add	அவனினும்
அவன்+pron+dem+dist+3sgm+dem+loc+add	அவனிடமும்
அவன்+pron+dem+dist+3sgm+dem+abl+add	அவனிலிருந்தும்
அவன்+pron+dem+dist+3sgm+dem+loc+add	அவனிலும்
அவன்+pron+dem+dist+3sgm+dem+loc+foc=ஏயே	அவனிலேயே
அவன்+pron+dem+dist+3sgm+dem+gen+add	அவனதும்
அவன்+pron+dem+dist+3sgm+dem+soc+add	அவனொடும்
அவன்+pron+dem+dist+3sgm+dem+dat+add	அவனுக்கும்
அவன்+pron+dem+dist+3sgm+dem+soc+add	அவனோடும்
அவன்+pron+dem+dist+3sgm+dem+inst+add	அவனாலும்
அவன்+pron+dem+dist+3sgm+dem+acc+add	அவனையும்
அவன்+pron+dem+dist+3sgm+dem+acc+sandhip	அவனைப்
அவன்+pron+dem+dist+3sgm+dem+acc+sandhic	அவனைச்
அவன்+pron+dem+dist+3sgm+dem+acc+sandhit	அவனைத்
அவன்+pron+dem+dist+3sgm+dem+acc+sandhik	அவனைக்
அவள்+pron+dem+dist+3sgf+dem+abl+add	அவளினும்
அவள்+pron+dem+dist+3sgf+dem+loc+add	அவளிடமும்
அவள்+pron+dem+dist+3sgf+dem+abl+add	அவளிலிருந்தும்
அவள்+pron+dem+dist+3sgf+dem+loc+add	அவளிலும்
அவள்+pron+dem+dist+3sgf+dem+loc+foc=ஏயே	அவளிலேயே
அவள்+pron+dem+dist+3sgf+dem+gen+add	அவளதும்
அவள்+pron+dem+dist+3sgf+dem+soc+add	அவளொடும்
அவள்+pron+dem+dist+3sgf+dem+dat+add	அவளுக்கும்
அவள்+pron+dem+dist+3sgf+dem+soc+add	அவளோடும்
அவள்+pron+dem+dist+3sgf+dem+inst+add	அவளாலும்
அவள்+pron+dem+dist+3sgf+dem+acc+add	அவளையும்
அவள்+pron+dem+dist+3sgf+dem+acc+sandhip	அவளைப்
அவள்+pron+dem+dist+3sgf+dem+acc+sandhic	அவளைச்
அவள்+pron+dem+dist+3sgf+dem+acc+sandhit	அவளைத்
அவள்+pron+dem+dist+3sgf+dem+acc+sandhik	அவளைக்
அவர்+pron+dem+dist+3sgh+dem+abl+add	அவரினும்
அவர்+pron+dem+dist+3sgh+dem+loc+add	அவரிடமும்
அவர்+pron+dem+dist+3sgh+dem+abl+add	அவரிலிருந்தும்
அவர்+pron+dem+dist+3sgh+dem+loc+add	அவரிலும்
அவர்+pron+dem+dist+3sgh+dem+loc+foc=ஏயே	அவரிலேயே
அவர்+pron+dem+dist+3sgh+dem+gen+add	அவரதும்
அவர்+pron+dem+dist+3sgh+dem+soc+add	அவரொடும்
அவர்+pron+dem+dist+3sgh+dem+dat+add	அவருக்கும்
அவர்+pron+dem+dist+3sgh+dem+soc+add	அவரோடும்
அவர்+pron+dem+dist+3sgh+dem+inst+add	அவராலும்
அவர்+pron+dem+dist+3sgh+dem+acc+add	அவரையும்
அவர்+pron+dem+dist+3sgh+dem+acc+sandhip	அவரைப்
அவர்+pron+dem+dist+3sgh+dem+acc+sandhic	அவரைச்
அவர்+pron+dem+dist+3sgh+dem+acc+sandhit	அவரைத்
அவர்+pron+dem+dist+3sgh+dem+acc+sandhik	அவரைக்
அவர்கள்+pron+3sgh+dem+dist+gen+add	அவர்களதும்
அவர்கள்+pron+3sgh+dem+dist+dat+add	அவர்களுக்கும்
அவர்கள்+pron+3sgh+dem+dist+loc+add	அவர்களிலும்
அவர்கள்+pron+3sgh+dem+dist+loc+foc=ஏயே	அவர்களிலேயே
அவர்கள்+pron+3sgh+dem+dist+abl+add	அவர்களிலிருந்தும்
அவர்கள்+pron+3sgh+dem+dist+loc+add	அவர்களிடமும்
அவர்கள்+pron+3sgh+dem+dist+abl+add	அவர்களினும்
அவர்கள்+pron+3sgh+dem+dist+soc+add	அவர்களோடும்
